            Frequency	    DB(V(VO)/V(V1:+))
      9.9083194489279	-0.000329177383130313
     10.0000000000002	-0.000335128421314988
     10.0925288607671	-0.000341279233008825
     10.1859138805414	 -0.00034761809527873
      10.280162981265	-0.000354133369015068
     10.3752841581804	-0.000360812954408079
     10.4712854805092	-0.000367644275795484
     10.5681750921368	-0.000374614831146219
     10.6659612123028	-0.000381711917169823
     10.7646521362986	-0.000388094155632853
     10.8642562361709	-0.000395404794537874
     10.9647819614321	-0.000402802023376252
     11.0662378397769	-0.000410271995078813
     11.1686324778059	-0.000417800935261978
     11.2719745617554	-0.000426202416177691
     11.3762728582346	-0.000433805870644666
     11.4815362149691	-0.000442252255351668
     11.5877735615515	-0.000449870850729862
