                 Time	                V(VO)	                V(VI)
   0.0027920898446916	    0.042327132076025	                    5
  0.00282483520601973	    0.108843088150024	                    5
  0.00287735595797285	    0.362322628498077	                    5
   0.0029558349618791	      1.0564888715744	                    5
   0.0030449707040666	     2.12314009666443	                    5
   0.0031517333993791	     3.40179586410522	                    5
   0.0032834472665666	     4.53696393966675	                    5
   0.0034091796884416	       5.077064037323	                    5
   0.0035486083993791	     5.19556665420532	                    5
   0.0037102294931291	     5.07824277877808	                    5
  0.00379771728609785	     5.01556825637817	                    5
  0.00390867920016035	     4.96638202667236	                    5
  0.00402113037203535	     4.95365238189697	                    5
  0.00409940185641035	     4.96067428588867	                    5
  0.00410146167086932	      4.9610333442688	                    5
  0.00410558154391619	     4.96176147460938	                    5
  0.00411382129000994	     4.96323442459106	                    5
     0.00412000000102	     4.96435928344726	     4.90000200271606
    0.004120000001118	     4.96435928344726	     4.41000318527222
    0.004120000001314	     4.96435928344727	     3.43002319335938
  0.00412000000170599	     4.96435928344727	     1.47006320953369
     0.00412000000202	     4.96435928344727	                    0
   0.0041200000020984	     4.96435928344726	                    0
  0.00412000000225519	     4.96435928344727	                    0
  0.00412000000256879	     4.96435928344727	                    0
  0.00412000000319598	     4.96435928344727	                    0
  0.00412000000445035	     4.96435928344727	                    0
   0.0041200000069591	     4.96435928344727	                    0
   0.0041200000119766	     4.96435928344727	                    0
   0.0041200000220116	     4.96435928344727	                    0
   0.0041200000420816	     4.96435928344727	                    0
  0.00412000008222161	     4.96435928344727	                    0
  0.00412000016250161	     4.96435928344727	                    0
  0.00412000032306162	     4.96435928344727	                    0
  0.00412000064418165	     4.96435928344726	                    0
   0.0041200012864217	     4.96435928344726	                    0
  0.00412000257090179	     4.96435976028442	                    0
  0.00412000513986198	     4.96436023712158	                    0
  0.00412001027778236	      4.9643611907959	                    0
  0.00412002055362312	     4.96436309814453	                    0
  0.00412004110530464	      4.9643669128418	                    0
  0.00412008220866767	     4.96437406539917	                    0
  0.00412016441539375	     4.96438932418823	                    0
   0.0041203288288459	      4.9644193649292	                    0
  0.00412065765575019	     4.96447944641113	                    0
  0.00412131530955879	       4.964599609375	                    0
  0.00412263061717598	     4.96483659744263	                    0
  0.00412526123241035	     4.96528434753418	                    0
   0.0041305224628791	     4.96597099304199	                    0
   0.0041410449238166	     4.96575164794922	                    0
  0.00416116821483223	     4.95488882064819	                    0
   0.0041987353535041	     4.87753105163574	                    0
  0.00425400268748848	     4.59576416015625	                    0
  0.00432120239451973	     3.99629807472229	                    0
  0.00438945190623848	     3.19390439987183	                    0
  0.00448513061717598	     2.01287794113159	                    0
  0.00460660278514473	    0.800554156303406	                    0
  0.00473275024608223	   0.0730948075652123	                    0
  0.00487923462108223	   -0.193178623914719	                    0
  0.00497039673045723	    -0.18097360432148	                    0
  0.00509073364451973	  -0.0717837736010551	                    0
  0.00516378051951973	  -0.0169054325670004	                    0
  0.00525030395701973	   0.0266773048788309	                    0
  0.00532864868358223	   0.0424518696963787	                    0
  0.00541959106639473	   0.0396452136337757	                    0
     0.00550000000002	   0.0293263923376799	   0.0999981313943863
    0.005500000000118	   0.0293263923376799	    0.589996814727783
    0.005500000000314	   0.0293263923376799	     1.56997680664063
  0.00550000000070599	   0.0293263923376799	     3.52993679046631
     0.00550000000102	   0.0293263923376799	                    5
   0.0055000000010984	   0.0293263923376799	                    5
   0.0055000000012552	   0.0293263923376799	                    5
  0.00550000000156879	   0.0293263923376799	                    5
  0.00550000000219598	   0.0293263923376799	                    5
  0.00550000000345035	   0.0293263923376799	                    5
   0.0055000000059591	   0.0293263923376799	                    5
   0.0055000000109766	   0.0293263904750347	                    5
   0.0055000000210116	   0.0293263904750347	                    5
   0.0055000000410816	   0.0293263867497444	                    5
  0.00550000008122161	    0.029326381161809	                    5
  0.00550000016150161	   0.0293263699859381	                    5
  0.00550000032206162	   0.0293263476341963	                    5
  0.00550000064318165	   0.0293263047933578	                    5
   0.0055000012854217	   0.0293262153863907	                    5
  0.00550000256990179	   0.0293260402977467	                    5
  0.00550000513886198	   0.0293256863951683	                    5
  0.00550001027678236	   0.0293249823153019	                    5
  0.00550002055262312	   0.0293235722929239	                    5
  0.00550004110430464	   0.0293207503855228	                    5
  0.00550008220766768	    0.029315110296011	                    5
  0.00550016441439375	   0.0293038338422775	                    5
   0.0055003288278459	   0.0292813014239073	                    5
   0.0055006576547502	   0.0292363464832306	                    5
  0.00550131530855879	   0.0291470903903246	                    5
  0.00550263061617598	   0.0289729088544846	                    5
  0.00550526123141035	   0.0286553129553795	                    5
   0.0055105224618791	   0.0282460134476423	                    5
   0.0055210449228166	   0.0290820058435202	                    5
   0.0055420898446916	    0.042328242212534	                    5
  0.00557483520601973	    0.108844295144081	                    5
  0.00562735595797285	    0.362323969602585	                    5
   0.0057058349618791	     1.05649018287659	                    5
   0.0057949707040666	     2.12314128875732	                    5
   0.0059017333993791	     3.40179681777954	                    5
   0.0060334472665666	     4.53696441650391	                    5
   0.0061591796884416	       5.077064037323	                    5
   0.0062986083993791	     5.19556665420532	                    5
   0.0064602294931291	     5.07824277877808	                    5
  0.00654771728609785	     5.01556825637817	                    5
  0.00665867920016035	     4.96638202667236	                    5
  0.00677113037203535	     4.95365238189697	                    5
  0.00684940185641035	     4.96067428588867	                    5
  0.00685146167086932	      4.9610333442688	                    5
  0.00685558154391619	     4.96176147460938	                    5
  0.00686382129000994	     4.96323442459106	                    5
     0.00687000000102	     4.96435928344727	     4.90000200271606
    0.006870000001118	     4.96435928344726	     4.41000318527222
    0.006870000001314	     4.96435928344727	     3.43002319335938
  0.00687000000170599	     4.96435928344727	     1.47006320953369
     0.00687000000202	     4.96435928344727	                    0
   0.0068700000020984	     4.96435928344726	                    0
   0.0068700000022552	     4.96435928344727	                    0
  0.00687000000256879	     4.96435928344727	                    0
  0.00687000000319598	     4.96435928344727	                    0
  0.00687000000445035	     4.96435928344727	                    0
   0.0068700000069591	     4.96435928344727	                    0
   0.0068700000119766	     4.96435928344727	                    0
   0.0068700000220116	     4.96435928344727	                    0
   0.0068700000420816	     4.96435928344727	                    0
  0.00687000008222161	     4.96435928344727	                    0
  0.00687000016250161	     4.96435928344727	                    0
  0.00687000032306162	     4.96435928344727	                    0
  0.00687000064418165	     4.96435928344726	                    0
   0.0068700012864217	     4.96435928344726	                    0
  0.00687000257090179	     4.96435976028442	                    0
  0.00687000513986198	     4.96436023712158	                    0
  0.00687001027778236	      4.9643611907959	                    0
  0.00687002055362312	     4.96436309814453	                    0
  0.00687004110530464	      4.9643669128418	                    0
  0.00687008220866768	     4.96437406539917	                    0
  0.00687016441539375	     4.96438932418823	                    0
   0.0068703288288459	      4.9644193649292	                    0
